x[um],Cl[X],F[X],OH[X],error_Cl,error_F,error_OH
0,0.216,0.795,-0.011,0.00432,0.0159,-0.00022
1,0.201,0.852,-0.054,0.00402,0.01704,-0.00108
2,0.18,0.797,0.022,0.0036,0.01594,0.00044
3,0.159,0.659,0.181,0.00318,0.01318,0.00362
4,0.15,0.661,0.189,0.003,0.01322,0.00378
5,0.139,0.806,0.056,0.00278,0.01612,0.00112
6,0.142,0.651,0.207,0.00284,0.01302,0.00414
7,0.145,0.679,0.175,0.0029,0.01358,0.0035
8,0.14,0.614,0.246,0.0028,0.01228,0.00492
9,0.142,0.72,0.139,0.00284,0.0144,0.00278
10,0.14,0.588,0.272,0.0028,0.01176,0.00544
11,0.145,0.609,0.246,0.0029,0.01218,0.00492
12,0.145,0.685,0.169,0.0029,0.0137,0.00338
13,0.159,0.744,0.097,0.00318,0.01488,0.00194
14,0.141,0.653,0.206,0.00282,0.01306,0.00412
15,0.141,0.687,0.172,0.00282,0.01374,0.00344
16,0.137,0.691,0.172,0.00274,0.01382,0.00344
17,0.148,0.8,0.052,0.00296,0.016,0.00104
18,0.144,0.597,0.259,0.00288,0.01194,0.00518
